sub_category,orders,avg_discount,sales,profit,margin_pct,slow_moving_flag,over_discounted_flag
Machines,112,0.3060869565217391,189238.631,3384.7568999999976,0.0179,1,1
Bookcases,224,0.211140350877193,114879.99629999994,-3472.556000000001,-0.0302,1,0
Tables,307,0.2612852664576804,206965.53200000006,-17725.48110000002,-0.0856,0,0
Supplies,174,0.07613636363636354,45952.469999999994,-1348.5654999999995,-0.0293,0,0
Chairs,576,0.17017828200972435,328449.10300000047,26590.16630000002,0.081,0,0
Storage,755,0.07454323995127933,216803.2120000002,21527.908300000032,0.0993,0,0
Phones,808,0.15459704880817352,329753.08799999993,44447.879099999984,0.1348,0,0
Furnishings,833,0.13758241758241785,82752.2299999999,11588.642000000002,0.14,0,0
Binders,1251,0.36964410327982944,199905.71699999983,29983.021300000066,0.15,0,0
Appliances,451,0.16652360515021486,107532.16100000004,18138.005400000005,0.1687,0,0
Art,731,0.07487437185929686,27118.791999999987,6527.786999999996,0.2407,0,0
Accessories,718,0.07845161290322622,167380.318,41936.6357,0.2505,0,0
Fasteners,210,0.08301886792452816,3008.6560000000004,942.4378000000004,0.3132,0,0
Copiers,68,0.1617647058823529,149528.0299999999,55617.82490000005,0.372,0,0
Envelopes,241,0.08130081300812993,15339.49,6460.8690999999935,0.4212,0,0
Paper,1113,0.07513812154696196,75356.11800000005,32712.169,0.4341,0,0
Labels,346,0.06868131868131852,12486.312000000005,5546.254000000002,0.4442,0,0
